,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Lancaster,0.6760639163149382,0.6213763754085315,0.5743919501832229,0.7923439997716765,0.5737827603900721,0.5437150412893144,0.6000311939593681,0.675992673115587,0.6068653415746988,0.6006260177974505,0.4969665579080639,0.6498648669276025,0.5561192461600737,0.7127828310720704,0.64285448426805,0.7170397868458147,0.561152585041921
1,Minnehaha,0.8216570336380477,0.4933366713696856,0.7444435988036808,0.671915022282877,0.5711180812327791,0.5902669479921839,0.4984527856225122,0.4510423747065125,0.5293916172226432,0.5247256493539669,0.43983626897169337,0.5149951469659316,0.38716948615603203,0.42842778989836,0.47514506504085313,0.5676547786176939,0.39670799789356753
2,Allen,0.40130374338788294,0.38430534318450393,0.43046874263111895,0.40408864895521457,0.5092858753226833,0.4313641907170067,0.4107845227121828,0.31691089127379063,0.5112850663578569,0.39471652225543946,0.33519791843408087,0.36938393242385437,0.39586084068600497,0.38251765322499326,0.4417257773805114,0.36924900889329365,0.46072958253024715
3,Beaver,0.45457076560715975,0.3961904989306464,0.34321170164567616,0.27228690219507323,0.3100197857522152,0.3544775987637821,0.3389584696735121,0.3154328479775173,0.3134335854889122,0.2414081668590248,0.2238643402122862,0.32669085679264237,0.2374314090536285,0.30965385198415046,0.28535019010453966,0.23262598756774053,0.29685354018482124
4,Chatham,0.49598123805747957,0.39972514074841825,0.4886080912974709,0.47135556075407836,0.33106682673066506,0.31192477231294397,0.3231491586909304,0.34885523627668497,0.46275353138201725,0.3887202132860075,0.2523100197318078,0.5272668627620598,0.266950278012313,0.3088212910034394,0.35117631793102233,0.3664601625824487,0.31068873409384307
5,Lake,0.4074642715419707,0.301107383792744,0.357930134843124,0.2513501340578027,0.27635960769760376,0.28191085607637656,0.35741988559853766,0.18862226297031812,0.3514803587833547,0.2138019823512785,0.17689217852034492,0.2509687773596998,0.1996501762373789,0.2610219921925534,0.26139609679623516,0.1998452230623355,0.20932428363791522
6,Salem,0.4542420684364892,0.517976991283203,0.6631806858076961,0.40443713083615657,0.4270407625224189,0.3595585435182281,0.3926939605855894,0.4782684308963508,0.5026114517088609,0.4546058280984198,0.34344378628306077,0.5241520286393825,0.41929928349037077,0.4233507404433955,0.4702630616976892,0.4141698890143227,0.4332985879211292
7,Montgomery,0.40880339487145223,0.46545562236177007,0.6176707248890289,0.3576879825947156,0.3216229274941076,0.27315083245400923,0.31265498476089354,0.3179386282088685,0.3937527938176792,0.37622743492233357,0.28192814594379095,0.394525536546993,0.3316369878210328,0.29188197454931364,0.36253805435679515,0.3354729511093008,0.39773232099205624
8,Hamilton,0.4558395112617617,0.506785016387884,0.4767004049057707,0.3655819496695257,0.3530153660486282,0.38570990636603497,0.3448540151039088,0.2561308343603625,0.5038369269714732,0.3869015705163967,0.27792177930301376,0.3953850100625307,0.4141531915205702,0.43285500374862285,0.3389760107211228,0.31818044015663444,0.3946191217671736
9,Poquoson,0.5471774148880255,0.3564692023475837,0.48876645694165843,0.3840359107289692,0.2743928671275438,0.337991896127481,0.3161630284581714,0.40168063866335557,0.32627911311875385,0.3450043940463354,0.4619846149090267,0.603103235317928,0.5042731041423449,0.39445798370841656,0.3038024379124928,0.3597743776623378,0.23932480919824253
10,James City,0.5953999705945405,0.4298601181788996,0.5593629412037651,0.4593632823555256,0.35705144362156366,0.4169064470719118,0.3798624513462894,0.5404346763944311,0.3979933385889983,0.4226340792339971,0.4625319966255817,0.6882116397040002,0.5125961769791308,0.4515852885334063,0.39150598240115475,0.3546161819029891,0.28486358603913786
11,Calcasieu,0.5495290079429788,0.5506639467965666,0.7246860914618314,0.49770446008768265,0.4186915096970946,0.45601239905226787,0.4704413290608902,0.5534046927343005,0.40839926742640636,0.34425173418059035,0.40819757545733043,0.45920871070540636,0.4561917251815577,0.43988644133165555,0.5044909345935055,0.3672759383346178,0.4194972773358799
12,Tangipahoa,0.5694891586766695,0.48865437309613685,0.7888564951186118,0.3908662740820592,0.5414124627932252,0.5257096932371471,0.45745945849096703,0.5320077249419443,0.42643282107875097,0.45005156472552366,0.37532808047470273,0.42361892903903264,0.5282611142729235,0.4714109234690231,0.49678137622712326,0.508809107559216,0.3802287534842567
13,Stafford,0.4159778814920145,0.3861437001607145,0.5522222861926429,0.4339792272754662,0.3408393451132384,0.36858151751584267,0.4873149311648083,0.6603875061190125,0.5102226045779797,0.5401162764547061,0.35889323582732585,0.5649660773678077,0.41269213903257324,0.42107435377783,0.4741384112632953,0.34153788734951435,0.3104641206570493
14,Orange,0.5232182595327305,0.5651757230398652,0.7254572460395884,0.5843720631791963,0.5445754244893427,0.5322038351926571,0.48793991339208015,0.7562198105388982,0.5106665693891693,0.5033040197104685,0.5405852412873309,0.6116077248500333,0.4490226030332488,0.6247197777415495,0.5980120820035959,0.42760350019501736,0.5785329493921998
15,Hampshire,0.377070339440917,0.24956482714558195,0.41108783021834444,0.2501738349055554,0.26790081185685644,0.2809964872649754,0.3162968887777806,0.1952208780051479,0.2959963081095566,0.35672290294988757,0.30233590539038957,0.39962987677231554,0.24898376513450898,0.27805001045403765,0.37818732390906507,0.2823946002625471,0.2569356887207499
16,Alamance,0.44578342886496614,0.4074452815656262,0.5096023897044426,0.48151305612502543,0.37908476231953214,0.3010214345077431,0.4086386100908418,0.3936758050608298,0.500000574517043,0.47514033224375785,0.3239045405830262,0.6084112839423402,0.3571848293153352,0.45890360695569404,0.32462973016814495,0.382829422946291,0.3903086284313827
