GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
47149,Rutherford,2,1,4,1,8,1,8,9,7,6,4,8,3,9,1,8,4
37063,Durham,1,0,3,1,5,2,7,8,7,12,7,11,10,6,4,11,6
51510,Alexandria,1,0,2,1,6,4,7,9,9,7,4,11,8,6,5,8,11
41029,Jackson,3,3,5,2,16,14,17,13,13,29,16,18,10,2,17,16,18
12011,Broward,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
48397,Rockwall,3,2,6,3,14,14,12,27,10,19,18,14,16,16,18,14,26
26163,Wayne,1,1,0,3,5,7,7,12,15,3,5,6,6,1,2,4,2
51540,Charlottesville,1,0,3,3,7,5,6,7,11,9,7,17,9,9,2,11,8
48309,McLennan,3,1,6,2,10,7,12,20,4,7,9,11,16,13,14,11,24
12099,Palm Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47165,Sumner,4,1,4,0,9,3,8,8,8,8,3,8,4,10,2,9,3
51820,Waynesboro,1,0,3,3,6,5,6,9,8,10,6,15,9,7,2,10,5
41051,Multnomah,2,5,5,4,24,18,13,19,13,24,12,14,5,6,18,14,23
6067,Sacramento,4,7,9,6,30,33,27,34,26,40,21,33,17,25,21,26,29
6083,Santa Barbara,0,0,0,0,1,2,5,3,2,4,1,0,0,1,3,0,0
37151,Randolph,0,0,2,2,5,1,6,5,9,11,4,5,4,6,1,8,6
24015,Cecil,2,0,4,2,7,5,8,7,6,4,3,14,5,6,6,10,9
25001,Barnstable,0,0,1,3,4,3,5,9,4,3,3,11,6,4,2,12,9
18089,Lake,3,1,2,3,9,7,9,13,16,10,6,6,7,10,8,8,10
26159,Van Buren,1,1,2,3,10,9,10,14,20,14,8,6,13,13,8,12,15
47105,Loudon,2,0,4,0,4,2,7,8,11,8,8,11,4,14,4,6,5
18157,Tippecanoe,1,2,3,3,3,7,7,9,16,10,5,6,6,11,11,8,6
12086,Miami-Dade,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
