GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
21209,Scott,4.8387,0.0,6.4516,3.2258,14.5161,12.9032,22.5806,16.129,25.8065,22.5806,11.2903,20.9677,11.2903,22.5806,3.2258,17.7419,9.6774
18003,Allen,4.8387,1.6129,3.2258,4.8387,12.9032,12.9032,14.5161,11.2903,24.1935,9.6774,8.0645,11.2903,9.6774,20.9677,14.5161,19.3548,11.2903
49005,Cache,3.2258,6.4516,11.2903,4.8387,22.5806,16.129,24.1935,11.2903,30.6452,35.4839,12.9032,22.5806,9.6774,8.0645,17.7419,20.9677,27.4194
17113,McLean,3.2258,1.6129,1.6129,3.2258,16.129,6.4516,14.5161,11.2903,22.5806,9.6774,4.8387,6.4516,8.0645,16.129,9.6774,11.2903,8.0645
23001,Androscoggin,1.6129,0.0,3.2258,4.8387,9.6774,3.2258,4.8387,1.6129,4.8387,6.4516,3.2258,11.2903,9.6774,1.6129,1.6129,17.7419,3.2258
16055,Kootenai,4.8387,1.6129,3.2258,3.2258,22.5806,6.4516,16.129,20.9677,24.1935,32.2581,12.9032,16.129,4.8387,6.4516,25.8065,29.0323,48.3871
32003,Clark,3.2258,11.2903,9.6774,4.8387,38.7097,40.3226,33.871,19.3548,45.1613,38.7097,16.129,38.7097,19.3548,30.6452,20.9677,30.6452,25.8065
55063,La Crosse,3.2258,1.6129,3.2258,1.6129,12.9032,4.8387,16.129,14.5161,25.8065,14.5161,6.4516,11.2903,6.4516,17.7419,9.6774,16.129,30.6452
36091,Saratoga,1.6129,0.0,3.2258,4.8387,6.4516,6.4516,12.9032,4.8387,6.4516,1.6129,1.6129,14.5161,8.0645,16.129,8.0645,22.5806,8.0645
48041,Brazos,4.8387,3.2258,4.8387,1.6129,8.0645,6.4516,16.129,14.5161,6.4516,12.9032,17.7419,11.2903,19.3548,12.9032,12.9032,12.9032,22.5806
24001,Allegany,0.0,0.0,4.8387,3.2258,6.4516,3.2258,8.0645,12.9032,14.5161,11.2903,4.8387,9.6774,11.2903,14.5161,1.6129,11.2903,6.4516
13089,DeKalb,3.2258,1.6129,8.0645,0.0,8.0645,4.8387,4.8387,17.7419,9.6774,12.9032,11.2903,9.6774,3.2258,16.129,4.8387,6.4516,4.8387
24510,Baltimore,1.6129,0.0,3.2258,1.6129,8.0645,8.0645,12.9032,6.4516,8.0645,3.2258,11.2903,14.5161,6.4516,8.0645,3.2258,11.2903,12.9032
5085,Lonoke,8.0645,1.6129,4.8387,0.0,11.2903,8.0645,12.9032,24.1935,9.6774,19.3548,11.2903,14.5161,12.9032,12.9032,16.129,11.2903,11.2903
48245,Jefferson,1.6129,0.0,1.6129,1.6129,0.0,0.0,3.2258,4.8387,0.0,3.2258,1.6129,1.6129,1.6129,4.8387,0.0,3.2258,1.6129
48027,Bell,4.8387,3.2258,9.6774,3.2258,16.129,11.2903,17.7419,29.0323,8.0645,11.2903,14.5161,16.129,25.8065,24.1935,20.9677,20.9677,33.871
