GEOID,NAME,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95,0,12
18003,Allen,18978.0,162437,167765,68656,30572,5073,138113.0,2080.0,3144.0,2395.0,6162,121968.0,959604.0,32862.0,8265.0,0.0,0.0
49005,Cache,23292.0,76997,49745,20586,7587,1058,683718.0,498317.0,46045.0,929260.0,32840,78098.0,598216.0,13214.0,41983.0,0.0,0.0
17113,McLean,11639.0,104965,120293,51369,15824,1123,37671.0,137.0,45881.0,99.0,2659,80754.0,2599930.0,4685.0,211.0,0.0,0.0
23001,Androscoggin,72710.0,64174,51238,24435,9904,10073,156958.0,197255.0,447411.0,12253.0,29424,136424.0,10490.0,129273.0,16192.0,0.0,0.0
16055,Kootenai,204877.0,80080,92767,43383,5229,10037,2716.0,2299826.0,988.0,666381.0,123025,13929.0,197067.0,52450.0,35451.0,0.0,0.0
32003,Clark,270061.0,203421,301414,406455,162009,603020,1960.0,924177.0,14503.0,13627668.0,3107113,4129.0,14518.0,52252.0,25518.0,0.0,0.0
55063,La Crosse,76869.0,46389,54517,30670,9086,915,489525.0,17508.0,58732.0,3233.0,5963,178712.0,250431.0,61129.0,31011.0,0.0,0.0
36091,Saratoga,90446.0,151068,90838,29251,10605,7829,562400.0,395313.0,308289.0,12585.0,21406,209480.0,69542.0,298929.0,22544.0,0.0,0.0
48041,Brazos,17254.0,85800,57827,44550,12351,3332,155218.0,17261.0,84019.0,8423.0,14188,658261.0,89134.0,107089.0,8012.0,0.0,0.0
24001,Allegany,12171.0,60317,27366,11549,4066,9008,726759.0,9797.0,124355.0,7760.0,14342,86376.0,5161.0,614.0,235.0,0.0,0.0
13089,DeKalb,5983.0,180308,147455,62087,35161,6570,74274.0,78477.0,29053.0,1113.0,6173,10496.0,0.0,8709.0,194.0,0.0,0.0
24510,Baltimore,26268.0,39833,51343,54295,45600,1448,12507.0,72.0,1791.0,88.0,247,610.0,685.0,543.0,93.0,0.0,0.0
05085,Lonoke,78536.0,82167,29088,8374,2767,5382,126886.0,30746.0,18922.0,1347.0,8378,216844.0,1040741.0,271168.0,10627.0,0.0,0.0
48245,Jefferson,467003.0,75484,174089,70280,39497,8799,240.0,13541.0,15659.0,4721.0,13070,690713.0,153483.0,171344.0,639705.0,1121.0,0.0
48027,Bell,77202.0,155984,87559,59753,24303,6022,156840.0,249707.0,3810.0,110715.0,849660,203219.0,461126.0,63470.0,1775.0,0.0,0.0
36075,Oswego,979873.0,122318,33409,12367,5009,4502,1124431.0,228693.0,87166.0,40897.0,15605,342295.0,117200.0,420424.0,30396.0,0.0,0.0
36111,Ulster,88893.0,157363,49187,18545,6744,8716,1525095.0,121563.0,647117.0,7313.0,15316,198394.0,29843.0,192478.0,10169.0,0.0,0.0
34007,Camden,13146.0,108318,112458,61012,23799,3018,69256.0,21027.0,31301.0,3531.0,3314,2157.0,38316.0,91998.0,3700.0,0.0,0.0
51085,Hanover,8169.0,88372,29841,15563,5606,4010,237468.0,110931.0,250411.0,52327.0,16062,76031.0,156619.0,130358.0,2306.0,0.0,0.0
48215,Hidalgo,32739.0,208735,223837,135607,42417,31041,19556.0,5920.0,18340.0,659894.0,377875,591584.0,1107176.0,26993.0,13031.0,3498.0,0.0
37109,Lincoln,19752.0,64874,43853,8310,3043,661,187521.0,43203.0,100752.0,12077.0,16294,193116.0,44099.0,3114.0,318.0,0.0,0.0
05091,Miller,40219.0,46394,42343,13001,3778,3705,126918.0,212835.0,105007.0,46054.0,43353,397921.0,211823.0,196683.0,20629.0,0.0,0.0
12095,Orange,219226.0,327558,289522,171016,58479,10885,1136.0,141208.0,22628.0,41811.0,25814,246130.0,17775.0,574570.0,112103.0,0.0,0.0
13045,Carroll,20376.0,75875,49618,12050,5731,2070,353853.0,207754.0,83442.0,26722.0,48849,281710.0,27.0,27128.0,1087.0,0.0,0.0
20161,Riley,38233.0,53111,46087,15011,4808,2028,196269.0,9437.0,5750.0,1133.0,835262,21455.0,338774.0,7161.0,14516.0,0.0,0.0
37027,Caldwell,6744.0,98523,33301,9818,3971,314,429982.0,76964.0,354023.0,11078.0,13350,113754.0,5823.0,1781.0,164.0,0.0,0.0
18173,Warrick,31827.0,52096,23681,7671,3360,2563,268634.0,11198.0,65715.0,6918.0,19327,137126.0,312883.0,34556.0,4742.0,0.0,0.0
48181,Grayson,112447.0,112971,50912,19862,10301,1603,411954.0,54293.0,6405.0,43882.0,839189,355446.0,292821.0,7738.0,4903.0,0.0,0.0
01033,Colbert,73577.0,59047,38409,12772,4889,4629,525684.0,100359.0,89035.0,73423.0,35895,241883.0,178443.0,56683.0,5421.0,0.0,0.0
47149,Rutherford,20938.0,142123,116552,45725,18140,4072,205411.0,184611.0,225124.0,4424.0,15818,477852.0,59562.0,1817.0,842.0,0.0,0.0
37063,Durham,25822.0,139213,67542,37466,10448,1478,141391.0,94921.0,93779.0,5557.0,14031,49993.0,7524.0,38123.0,1442.0,0.0,0.0
51510,Alexandria,811.0,6184,11455,12815,5139,175,1432.0,66.0,782.0,43.0,26,6.0,218.0,290.0,49.0,0.0,0.0
