,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Lancaster,0.6188343298772027,0.5945350530879823,0.5651618628589867,0.6598416558754903,0.5760270552137382,0.559183269502853,0.5865003859520884,0.6162158690799036,0.5858183665957111,0.5876148812225617,0.5372100243240256,0.6044612124527093,0.56639298419128,0.6256266905691028,0.6063290722874453,0.634288786260622,0.5578810793779532
1,Minnehaha,0.671338756066969,0.529183107466408,0.6420922528656523,0.613019773449612,0.5695028816807558,0.5820771087892965,0.5388784832140614,0.5148731768903079,0.5576621637535992,0.5502003108556439,0.505482663307962,0.5506303528509685,0.48260570297955624,0.49908661409423316,0.5205606796640314,0.55315021340675,0.4790342341336743
2,Allen,0.47653019489926735,0.47851548627957896,0.49319259439287944,0.4872556881873576,0.5311827721781579,0.4973860310586374,0.4919395147478632,0.43512341081853523,0.5363541067691834,0.4865759908387733,0.4515805338821134,0.4700393050104627,0.48766084416414646,0.47131944413211935,0.5135747467777404,0.4645917927831871,0.5023295803449173
3,Beaver,0.5167012731646972,0.48482198822506495,0.4508229583256683,0.40220465092247737,0.4365268642776879,0.45842894182405547,0.4455867359668783,0.43326138271710546,0.4244765425095036,0.3863569195826928,0.36895806105849116,0.4383393776583474,0.3776303556453226,0.43474830702188233,0.4029417048640905,0.3761043310667567,0.4150814703131165
4,Chatham,0.532099519326317,0.4704400020261796,0.529927138716178,0.5189844355200387,0.4417388543983437,0.425189144977263,0.4306051082233533,0.4536634322356495,0.5171376202997383,0.4672454668962722,0.390136197750711,0.5458915176971826,0.40237310561350964,0.41560172355869035,0.44420927799314175,0.4697015753216511,0.4302212771174533
5,Lake,0.48918379561318176,0.41769025067456994,0.46438208515136,0.3878835729576722,0.40590291965697084,0.4035257280715896,0.46341733760392595,0.32722418348862986,0.46025222980807473,0.3582731831680994,0.3335099158035592,0.37663907928900897,0.3456833964729043,0.38261765673310705,0.3925007269697365,0.35018731683979665,0.3501304709656617
6,Salem,0.5118713466081144,0.5403486874482676,0.6096593559378862,0.4723448737162496,0.504679470024619,0.4549936207520373,0.47755495164996636,0.4985664587041567,0.5376119090017093,0.5052353416715253,0.4382372588057484,0.5539601758740158,0.49548324456913634,0.5016841121417079,0.525929073770641,0.49872618461905005,0.5047260196739809
7,Montgomery,0.4917896160807142,0.5150484778148875,0.5911744507285603,0.44344803733147753,0.44231814407615533,0.40171577610927994,0.4249356702755429,0.4130467864777846,0.4832291676134804,0.46255521038566344,0.407528824765631,0.4868662808103693,0.4416713160108942,0.41222286715924783,0.458545719608586,0.447472339597713,0.48532402357034127
8,Hamilton,0.511777748348225,0.529925118972381,0.5216141096405931,0.4667846220656707,0.4436989172092144,0.4734130737061445,0.44876600342955547,0.39160964748869964,0.541827297789085,0.46636997336170827,0.40557246341480735,0.48511380474074134,0.4928785608305426,0.500218994585142,0.4510228424624855,0.43549320069627695,0.46455374438075914
9,Poquoson,0.5466246882539497,0.4508966666893025,0.5359562299258264,0.46977453494545557,0.40429646342836917,0.44742910570859806,0.4318863432657662,0.46262390390212554,0.44132809383113986,0.45226299631120287,0.49902524795893005,0.5738406240457106,0.5309603109668048,0.4781626359748421,0.4308015995336665,0.4511335891784919,0.38007589809665926
10,James City,0.5783113425128877,0.48561271623368985,0.5681677704130492,0.5075880144167795,0.45474569129601333,0.49739134236542487,0.4752755095379665,0.53751229930716,0.48736601071912106,0.5017435959411455,0.5036796952887946,0.6059044360353402,0.5348741134345862,0.5156087346538676,0.4771212962712525,0.4589951540154999,0.4124246553339858
11,Calcasieu,0.5641081123367908,0.5634723165102986,0.6331779178815677,0.5286367209911144,0.49529795472564014,0.5189253949229835,0.506255780525843,0.5581833082421223,0.48655341167370675,0.45266747447499295,0.48842523095686075,0.5197861720359191,0.5118774077711032,0.5018850992974426,0.5298516319930981,0.46037864809007223,0.5014581708219842
12,Tangipahoa,0.5678836249705301,0.5264883599220724,0.629933111991096,0.478301493592958,0.5500605701534457,0.5535340405626047,0.515465924840414,0.5593673227604308,0.5001512175895909,0.5077682797145463,0.47172748650581126,0.49568659620142685,0.5457380600667338,0.5297301622731475,0.5145519025878081,0.5332633795660019,0.472617144449884
13,Stafford,0.48427845594268637,0.46111768504610745,0.5616019891589947,0.5002408295148654,0.45254853080775725,0.47082994149936586,0.5282545318177895,0.5779138733972682,0.5442425414710684,0.5609389098882751,0.4638939450799496,0.5723021371978771,0.4937908078729426,0.5008561939986762,0.5273649529412251,0.45455055259666793,0.42807386485346394
14,Orange,0.5487737764904657,0.5684880812240041,0.6282144800257422,0.5731364643360034,0.5613455910428106,0.5587463471117656,0.5259220181580077,0.6440714272224687,0.5459314516930128,0.5382224808727384,0.5578738757276417,0.5920125233735933,0.5092962262731149,0.5916350751827893,0.5848886560524933,0.501001397037404,0.5797765892252312
15,Hampshire,0.47633682996740956,0.3833084759328358,0.48375985769815766,0.39094883480993314,0.3986468771067495,0.40747466984921726,0.4354013789435438,0.340925611765499,0.42382746909166497,0.46055576207997023,0.42890109733330395,0.48641549405995393,0.38128485676061374,0.40487021595572453,0.47290228629739905,0.4126932496157471,0.3936537709048981
16,Alamance,0.5036652449072874,0.47363301903630023,0.5410843540334794,0.5209811876824192,0.477276635560201,0.4238681729620767,0.49111511217604625,0.48582334188123655,0.5384684839647157,0.5169326190081638,0.43812920101004926,0.5895457286953197,0.4627477559742646,0.5102802633784514,0.43497700256215116,0.4789157267752496,0.4819189320284832
