GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
31109,Lancaster,31.590054401409205,24.51220540345703,30.10644717814201,21.797255370460142,25.391799561078955,25.591897918211462,25.39882307349835,31.43103410683116,34.76071072249549,34.327979916530154,23.34508162183011,31.499793243212988,26.453690961607077,19.878633792408806,27.08127686834718,31.523707679203596,40.353424509621114
46099,Minnehaha,22.367639693750554,23.1537953649496,24.366630492179493,21.560215206977816,20.887527309568032,24.735405102056227,28.755253430284508,24.221496290693505,26.573929932289055,26.025901735561433,24.8376669987479,35.38902534367187,26.341888207201713,22.362294140732615,24.263428886443023,26.051250416243658,29.730544800662006
39003,Allen,27.540453100186504,32.749506240833455,35.957684760709185,30.14546764782043,38.149132130465446,33.50546856579008,33.426822636033116,36.74522421839528,34.80963860629731,35.258752537087936,28.704459235638975,27.547336783712474,42.31684689890359,30.264018688380254,33.32152047636369,29.17542582975451,37.231702153775146
42007,Beaver,27.79121290739281,30.11832325242025,32.24861086049212,32.29601080542244,36.78043822676012,39.75119422581304,33.24440310713285,35.08596793431269,31.106456054982324,33.58534309523179,29.606410194258025,32.47917718260446,42.59823946978572,36.30223982611163,30.155809039486897,29.929403858265434,33.55376946313092
37037,Chatham,46.05544617729264,37.43371483001167,36.2627718012337,39.9986198706082,55.56693691362549,40.17648473431027,40.32271911167685,37.43858836262997,25.803852052828063,40.60075778273678,39.05750950381791,40.34259770055502,36.53602810954725,37.98157669375329,41.0236455267725,40.71500930205944,42.43596268674498
39085,Lake,19.27937643947459,22.635597660162873,20.17135610380467,23.970410068838294,26.09319047510118,27.124464549490906,24.28078558035883,33.5588531898428,23.728855894797537,26.445369370207757,26.84024923343339,25.60950571494233,32.636744164778136,30.633349501539456,26.877608713755027,24.121815396666534,22.24191057443562
51775,Salem,33.757150719541784,34.686091968846526,29.484841567562718,33.11790992572192,45.213294682937665,37.22707235198431,28.36736855974756,29.842944971202037,25.54022013554996,30.74621867004179,38.85532668537454,31.48341354549066,36.654801055274,28.144798564961693,37.72968438769302,29.81975356253473,40.9795541170998
51121,Montgomery,34.707440538466315,32.60597251902586,32.701017859357805,36.213353567780125,47.18206630322213,39.80714236189651,30.64983407861148,35.10390977552423,27.28179452494983,33.08932640994325,42.04703078795861,33.68651580511748,40.225276426076185,33.08041468606781,41.4476567447177,33.69140629508115,44.639797976771305
47065,Hamilton,45.238864101864294,42.722583546567826,48.18329937323401,48.838880634882315,55.93401301596048,52.589565656506004,43.9914925505958,40.93279724205901,29.78438619488147,44.27916624185494,51.57105627798015,46.25770784212622,51.52956420848382,47.14098971975436,61.21345490268007,46.064219107479225,57.710718519555535
51735,Poquoson,36.60639037305717,33.25399180258236,25.587837409526458,33.44993816726584,36.29375851572644,32.681456742974134,25.76734976018926,26.261381979099145,22.745324219692744,25.751430953694253,35.19959083844403,26.774788702516492,27.943948903984708,31.07657700017203,30.641422329025822,35.769429539750135,31.069472670349676
51095,James City,48.1321473474849,41.43976609746002,33.08741371134272,39.566668214281705,52.24403551158883,47.675108503312885,31.44462379203435,34.70272670398282,27.34397027140697,34.799626846802354,44.662853963248025,34.755735952744224,39.06627886325658,38.410424721321505,42.37895820540727,38.19658558255641,37.112034204500546
22019,Calcasieu,41.147867473905045,46.90779127851691,63.13905448270132,69.03757278840226,51.56007078275197,73.21309105138138,50.13914588798044,62.97208894489553,63.73748607000839,53.43870015984207,59.82303731752516,41.26393633135234,37.14153739174271,64.50257343060659,53.91581850978409,54.25231261854366,64.1691282878668
22105,Tangipahoa,44.125613683493675,42.056895972002216,58.213890403028245,61.37701087889955,52.70369953670682,63.76890136528481,50.49391223976788,46.080064414958564,48.583630104069144,49.646915569238615,58.43485807283316,45.19029652085038,44.79126668509507,61.13071112770748,55.24618344821576,56.304899770134014,59.939889697569186
51179,Stafford,37.68491616841098,38.75863136222227,34.351555197240735,34.875590630643586,52.56468484863616,37.029698830648826,32.730393518612274,31.858378478129886,21.968595855704358,38.075539043547764,37.626400532230846,30.997631942102135,39.60371860358184,32.76801449519926,36.5510448243983,35.011493316723225,37.94206583769543
48361,Orange,33.09968505360875,39.13366675927803,49.52407637024372,50.26265324684816,41.9067632562392,57.666077873565065,38.47265864650359,53.53807995654723,48.94180550053728,42.895716261085425,48.16680321232604,31.582552019604552,25.861794528944465,50.11723881768025,41.4520462681228,45.5047579149635,57.261032702328635
25015,Hampshire,34.3482972945611,40.08074706877103,26.449447521666254,38.38161194831943,38.54113007617978,39.9037700862009,42.67531189398982,45.05469467670271,31.31230896612595,46.177422999907925,39.89271019075522,40.906927141165504,46.774234968262064,34.29663073952588,37.89244199919005,39.21116121016899,30.559665087373375
