,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Lancaster,0.9971018326177365,0.997136577545175,0.9970740778091285,0.9971569883013884,0.9971504574785723,0.9971306800775463,0.9971317273616489,0.9971180890746081,0.9970813631833565,0.9970932519549484,0.9971257024445228,0.9971019015275966,0.9971213303961937,0.9971946168410577,0.997152246684335,0.9971205806728339,0.9970579707569225
1,Minnehaha,0.9971871883766785,0.9971746042824893,0.9971857204280531,0.9971832265943171,0.9971797497177063,0.9971786331064737,0.9971349024571026,0.9971435002456684,0.9971503858985967,0.9971451454529091,0.9971357411295714,0.9970969974756148,0.9971110160943231,0.9971381643364419,0.9971396681828301,0.9971389307043984,0.9971077333122607
2,Allen,0.9970981416924335,0.9970841590608868,0.9970616820102577,0.9970810863916075,0.9970474443132773,0.9970604077446941,0.9970513033653123,0.9970424729686604,0.9970869621248314,0.9970616958992315,0.9971120585191422,0.9971206781361748,0.9970099594233159,0.997098526801483,0.9970932717937269,0.9970993579618684,0.9970318560964733
3,Beaver,0.9971139938354165,0.9970920123810597,0.9970742207143091,0.9970377349383236,0.996995513497408,0.997025912833748,0.9970482451509988,0.9970343802174693,0.9970595456231135,0.9969944143569096,0.9970490491089863,0.9970314416295527,0.996940955037362,0.9970100627149525,0.9970308213238486,0.9970625221045303,0.9969920684119067
4,Chatham,0.9970530752649305,0.9970306306781794,0.9970810835351736,0.9970120962004879,0.9968801427444195,0.9970043119010183,0.9970244591303908,0.9970602396607902,0.9971466632067186,0.9970133698566268,0.996997363974755,0.9970331034662304,0.997049308126909,0.9969747986331423,0.9970123297235653,0.997040267668397,0.9969813846200175
5,Lake,0.9971253650060778,0.9970955210964102,0.9971058822770351,0.9970640025848109,0.9970457921545346,0.997051108471892,0.9970642104431494,0.996984606458682,0.9970889772908048,0.9970260291983091,0.9970469436842783,0.9970712562870073,0.9969788173518943,0.9970181498372641,0.9970225793566654,0.9970481062958375,0.9970686728556878
6,Salem,0.9971487781091516,0.997148374874228,0.9971727977291712,0.99710384321713,0.9970574858199192,0.99713868668016,0.9971470798708879,0.9971706157030605,0.9971741858306088,0.9971583388231341,0.9971119736185269,0.9971475048770395,0.9971354133507895,0.9971577898058026,0.9971310135384105,0.997149582019583,0.9971043779100663
7,Montgomery,0.9971223783688016,0.9971401505888492,0.9971488437693824,0.9970618120630783,0.9969951437316501,0.9970924902581872,0.9970958325176713,0.9971042011569947,0.9971416751980485,0.9971148607100454,0.9970664820055489,0.9970952640339593,0.9970814043416812,0.9970870442974212,0.9970696622069677,0.9971060504654959,0.9970443680503593
8,Hamilton,0.9970774056641375,0.9971029186347943,0.9970459986936886,0.9970116709318164,0.9970083254080375,0.9970584123970043,0.9970601650354195,0.9970630789065208,0.9971547407939384,0.9970808764708473,0.9970097024068146,0.9970579773752803,0.9970571656775267,0.9970403235892494,0.9969893983774402,0.9970439727785111,0.9969560324076794
9,Poquoson,0.9971191706728498,0.9971224086232648,0.9971686182523106,0.9971044153666738,0.9970969121267798,0.9971324942060736,0.9971532045917915,0.9971603779428766,0.9971684812785016,0.9971591282558715,0.9971284120691678,0.9971706467785151,0.997165394870982,0.9971292327148025,0.9971330489879645,0.9971275392186845,0.9971087407728275
10,James City,0.997097503868353,0.9971053262216929,0.9971594396114778,0.9970927914098134,0.9970413615807733,0.9970800280316016,0.9971439485177832,0.9971506083844368,0.9971717543352193,0.9971400246850061,0.9971082017157282,0.9971497584743375,0.9971361255145306,0.9971223340820141,0.9971106752624307,0.9971326190758882,0.9970971522060106
11,Calcasieu,0.9968940319506531,0.9968622761516707,0.9966840351551823,0.9965533047428111,0.9967163219056262,0.9965559534082041,0.9968003218756939,0.9966776450552294,0.9965066878883123,0.9966556974777032,0.9966341119524705,0.9968524280721166,0.9969399256271647,0.9965641629943064,0.9967956211407454,0.9967074642340739,0.9966304262661432
12,Tangipahoa,0.9968905427117214,0.9968937181438668,0.9967677741875086,0.9966169996863029,0.9967851526651381,0.9966738132413363,0.9968419822345453,0.9968816572396146,0.9967930021016002,0.9968120953241011,0.996643463978149,0.996819695342225,0.9968962181008778,0.996695702990927,0.9967467697726919,0.9967653517072641,0.9966667552911573
13,Stafford,0.9971146898816761,0.9971032867773212,0.9971505066428964,0.9971088925332411,0.9970277945501073,0.997128513158788,0.9971451981134322,0.9971620903437128,0.997187283553893,0.9971459620761244,0.9971081613293783,0.997159371531662,0.9971131908828632,0.9971294441841084,0.9971324635867497,0.9971184255138478,0.9970793823980888
14,Orange,0.9971288267372165,0.9971194416949731,0.9970582988788371,0.9970462602878362,0.9971153130311671,0.9970622753785934,0.9971410414795737,0.9971063142530248,0.9970602869227286,0.9971036238065037,0.997084722720131,0.9971469284772934,0.9971747369135342,0.9970849509726558,0.9971354275226523,0.9970776381499107,0.9970740023753509
15,Hampshire,0.9969128317905034,0.9968308221173461,0.9969717999927723,0.9967811259219271,0.9967246367707452,0.9968153172621512,0.9967406252218102,0.9966793741578315,0.9968484211312711,0.9966624814215557,0.9967827323613676,0.9968993750205667,0.996713196931228,0.9968514169873193,0.996859090163602,0.9967974810427168,0.9968993372834043
16,Alamance,0.9970722429950142,0.9970637826564644,0.9970974923630693,0.9970365971508333,0.9969254995908707,0.997061118235564,0.997087768242021,0.9971189555542872,0.9971645777880966,0.9970942185626714,0.9970521911636672,0.9970721086126014,0.9971010605610489,0.9970674308871764,0.9970456061252646,0.9970886002921645,0.9970259383978483
