,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Lancaster,5.889826331377614,5.894970754271088,5.889429816542588,5.893068004677258,5.891999012496575,5.894264591440257,5.891794921962487,5.890297039795124,5.887699717350147,5.891176075081714,5.892155415589821,5.889650694856821,5.891529792164698,5.897048918412031,5.891503978425061,5.890054378611716,5.88674206749208
1,Minnehaha,5.895957321165854,5.898200640110319,5.895214984766045,5.896117111831516,5.895623380737395,5.8979470022669025,5.893733724771828,5.89414206796538,5.894085849167714,5.897160755689806,5.894493843184832,5.891537061107608,5.8939390152414095,5.89739414226596,5.894310957614518,5.894605994231704,5.892946237538491
2,Allen,5.892375836401933,5.893723998575587,5.890784580657953,5.891930132809847,5.889406933857705,5.893529576665763,5.890584007778521,5.890442900624508,5.8901307438783554,5.8926234626909935,5.89263229356045,5.893055280264496,5.888484021690389,5.894962784682804,5.891073657104324,5.892112610101503,5.889255640884649
3,Beaver,5.892693844631523,5.895104356507431,5.892339421100946,5.891887452418657,5.890348530960764,5.892253511901134,5.891221434128984,5.891485409992233,5.891747905115204,5.892608346507481,5.892131746820123,5.890846279550829,5.8886143292112045,5.893439569251491,5.891732857688985,5.892354092492351,5.89074583798396
4,Chatham,5.887472288615248,5.891797063638883,5.890445958266841,5.888275453520381,5.884098414951387,5.891531595013603,5.888969062511528,5.890106337613304,5.893619024691424,5.891492373424584,5.88901133843844,5.888558724030689,5.890160590723266,5.892240707460036,5.8887507432824595,5.888631601193998,5.887970703615327
5,Lake,5.894365641625667,5.896672785043521,5.894443352207932,5.893482746610019,5.8929831440464895,5.895660547231243,5.893413449046313,5.891387923833343,5.894165666049031,5.895631463532089,5.892857843092307,5.893421207879238,5.890489432964684,5.895010381830554,5.892774437623794,5.893345120192335,5.893884320152568
6,Salem,5.893904824450144,5.896592881062648,5.895237835067907,5.893264483063574,5.8905748913246,5.895840138569297,5.894691725246286,5.895231011763785,5.8957549531682645,5.8973151955258745,5.891866493725071,5.893952060979573,5.893588238037854,5.898154513895932,5.892998423467097,5.894524555768164,5.89225503507464
7,Montgomery,5.893489462448685,5.896862827628929,5.8942901388739175,5.8922405921805,5.889752894006324,5.894876812604631,5.893761872034596,5.893628703087177,5.8949870494785594,5.896417576703789,5.891123718329241,5.892908575478954,5.892385136380788,5.896641054158361,5.891827431496588,5.893482577912903,5.891082204867329
8,Hamilton,5.890608944297425,5.893741405758732,5.889749566896837,5.889487739688481,5.887936269059718,5.891612782647145,5.890600815218694,5.891547172345754,5.894463918947675,5.893542396084593,5.888829225766146,5.890225261200165,5.888992602642695,5.892727876831575,5.8866946691706,5.890134659570752,5.886951070502821
9,Poquoson,5.893573496179671,5.896945955757498,5.896115021402159,5.89413035112013,5.893505564904774,5.897114906323354,5.896017406980124,5.896007202243985,5.896752662853616,5.898733801489103,5.893959646785243,5.895896941951298,5.895652688041739,5.897490604394661,5.894873797187805,5.8937697031166465,5.894660677402859
10,James City,5.890892165112206,5.894765806166714,5.894320754866568,5.892560933403416,5.889749361307024,5.893481325549054,5.8945384345407,5.894050738109189,5.895627036748641,5.89661430950404,5.891698935250181,5.893530074632111,5.893057335705338,5.895815427454918,5.892159056152678,5.893094872348877,5.892841468721979
11,Calcasieu,5.880531688412095,5.880530739859092,5.869880322533097,5.8668206001157515,5.875207170637946,5.867807256472264,5.876230013079959,5.87009432158309,5.868955574532142,5.876715712962651,5.8711582326166125,5.880289873121967,5.882600335194424,5.871588623448422,5.87472382505251,5.873992045480167,5.869285118949622
12,Tangipahoa,5.879328028594074,5.882888386581029,5.872682101446191,5.870497849375602,5.875138669222145,5.872393815492931,5.876258227742854,5.878420439345829,5.876864159902097,5.879158463551517,5.871852006980301,5.878471657482194,5.8791513794151244,5.873756600878292,5.873780909078596,5.873363672001589,5.871359666435441
13,Stafford,5.892909522917004,5.89499821601359,5.893964860156353,5.8933136093364205,5.88884691782236,5.895860720224674,5.893857564097818,5.894670305855712,5.896360156082975,5.895851032848867,5.892378458438461,5.89403000312465,5.8924601606303115,5.896990171803113,5.89315825919869,5.893016602867526,5.892481899314893
14,Orange,5.893830075592329,5.8951425257497885,5.889871608021571,5.889658194171695,5.8918470257916224,5.890882990013105,5.892768717719919,5.889392743224051,5.890027744728795,5.894265952182765,5.890320059093446,5.8942794598546655,5.895713618375604,5.892607139890469,5.892131037251562,5.890861395052465,5.888358633125339
15,Hampshire,5.882179233855725,5.883192530035684,5.885691142439843,5.8809834019363,5.87838210884455,5.883160159247197,5.877999217020449,5.878553625826798,5.8818220364503935,5.877003346492351,5.879803628221663,5.881283769382808,5.875953950820987,5.886390886600774,5.880691392538658,5.879750307440197,5.883821444553449
16,Alamance,5.8884783043447655,5.892982456104169,5.891251737753357,5.888971749762187,5.884239952614952,5.892702793085542,5.890917245090287,5.892205708812979,5.894470367474873,5.8932333090452005,5.889442144019963,5.889271391979689,5.891150696859661,5.8941063023056985,5.889724221381455,5.890586542416042,5.888107134873505
17,Suffolk,5.8904392770714615,5.891908426192108,5.891427504675759,5.890566756811464,5.884544348499475,5.888869501003731,5.882430372136322,5.8851134740194455,5.887563853297389,5.886107337215535,5.883918075582418,5.884950591069158,5.882726264454635,5.892711183299159,5.885475375349212,5.885476793989262,5.887540059350003
